entry_date,entry_price,exit_date,exit_price,quantity,exit_reason,pnl,pnl_percentage,stop_loss_price,take_profit_price
2020-03-04,152.59,2020-03-05,158.69,65,take_profit,396.49999999999966,0.03997640736614453,149.54,158.69
2020-05-18,130.59,2020-05-19,129.02,76,strategy_signal,-119.31999999999948,-0.01202236005819736,127.98,135.81
2020-06-24,135.0,2020-06-25,132.3,74,stop_loss,-199.79999999999916,-0.019999999999999917,132.3,140.4
2020-07-28,129.56,2020-08-03,126.97,77,stop_loss,-199.43000000000026,-0.01999073788206239,126.97,134.74
2020-11-25,146.33,2020-11-26,143.4,68,stop_loss,-199.24000000000046,-0.020023235153420395,143.4,152.18
2021-01-11,163.21,2021-01-13,159.95,61,stop_loss,-198.86000000000118,-0.019974266282703382,159.95,169.74
2021-01-22,163.49,2021-01-26,160.22,60,stop_loss,-196.2000000000006,-0.02000122331641085,160.22,170.03
2021-03-31,159.05,2021-04-01,155.87,62,stop_loss,-197.16000000000042,-0.019993712668972062,155.87,165.41
2021-04-08,156.11,2021-04-09,152.99,63,stop_loss,-196.5600000000003,-0.01998590737300624,152.99,162.35
2021-04-16,154.59,2021-04-19,153.01,63,strategy_signal,-99.54000000000079,-0.010220583478879698,151.5,160.77
2021-04-20,155.16,2021-04-23,161.37,63,take_profit,391.2300000000005,0.04002320185614854,152.06,161.37
2021-07-07,173.42,2021-07-12,169.95,57,stop_loss,-197.78999999999994,-0.02000922615615269,169.95,180.36
2021-07-20,174.02,2021-08-04,180.98,56,take_profit,389.75999999999885,0.03999540282726111,170.54,180.98
2021-08-25,185.99,2021-08-30,184.99,53,strategy_signal,-53.0,-0.005376633152320017,182.27,193.43
2021-08-31,186.36,2021-09-01,182.63,53,stop_loss,-197.69000000000096,-0.02001502468340855,182.63,193.81
2021-10-29,209.44,2021-11-04,205.25,47,stop_loss,-196.9299999999999,-0.020005729564553085,205.25,217.82
2021-12-15,187.56,2021-12-16,183.81,52,stop_loss,-195.0,-0.01999360204734485,183.81,195.06
2022-03-31,159.59,2022-04-01,156.4,61,stop_loss,-194.58999999999986,-0.01998872109781313,156.4,165.97
2022-04-14,154.54,2022-04-19,153.36,63,strategy_signal,-74.33999999999864,-0.007635563608127206,151.45,160.72
2022-08-30,172.93,2022-09-01,169.47,56,stop_loss,-193.76000000000045,-0.020008095761290742,169.47,179.85
2022-09-02,176.39,2022-09-13,174.57,55,strategy_signal,-100.09999999999962,-0.010318045240659863,172.86,183.45
2022-09-21,174.81,2022-09-22,171.31,56,stop_loss,-196.0,-0.02002173788684858,171.31,181.8
2022-09-26,175.47,2022-09-27,171.96,55,stop_loss,-193.0499999999995,-0.02000341938792951,171.96,182.49
2022-10-07,169.9,2022-10-12,166.5,57,stop_loss,-193.80000000000032,-0.02001177163037084,166.5,176.7
2022-11-28,168.06,2022-12-06,164.7,57,stop_loss,-191.52000000000078,-0.01999285969296688,164.7,174.78
2023-01-24,154.27,2023-01-26,151.18,62,stop_loss,-191.5800000000002,-0.02002981785181826,151.18,160.44
2023-03-01,169.18,2023-03-06,175.95,57,take_profit,385.88999999999896,0.04001655041967125,165.8,175.95
2023-04-06,177.53,2023-04-07,173.98,54,stop_loss,-191.7000000000006,-0.019996620289528595,173.98,184.63
2023-05-16,190.72,2023-05-17,188.04,50,strategy_signal,-134.00000000000034,-0.014052013422818827,186.91,198.35
2023-05-18,190.9,2023-05-24,187.08,50,stop_loss,-190.99999999999966,-0.020010476689366122,187.08,198.54
2023-06-21,198.34,2023-06-27,206.27,48,take_profit,380.6400000000003,0.03998184934960173,194.37,206.27
2023-07-10,208.38,2023-07-11,204.21,46,stop_loss,-191.81999999999942,-0.020011517420097838,204.21,216.72
2023-09-21,297.0,2023-09-25,291.06,32,stop_loss,-190.07999999999993,-0.019999999999999993,291.06,308.88
2023-10-13,293.97,2023-10-16,288.09,32,stop_loss,-188.16000000000167,-0.020002041024594523,288.09,305.73
2023-12-13,291.08,2023-12-14,290.38,33,strategy_signal,-23.099999999999625,-0.0024048371581695364,285.26,302.72
2023-12-18,291.62,2023-12-19,285.79,33,stop_loss,-192.38999999999947,-0.01999177011178926,285.79,303.28
